# Overall survival probabilities for all SBA 7(a) loans around $250k
# Generated: 2025-12-15 21:37:31
# Total observations: 5

time_months,survival_prob,failure_prob,failure_rate_pct,ci_low,ci_high,at_risk,events,censored,hazard_rate,group
12,0.9999,0.0001,0.01,0.9999,1.0,107130,8,12115,6e-06,Overall
24,0.998,0.002,0.2,0.9977,0.9983,93671,193,25389,0.000165,Overall
36,0.9916,0.0084,0.84,0.9909,0.9922,59888,673,58692,0.000668,Overall
48,0.9827,0.0173,1.73,0.9816,0.9838,34228,1074,83951,0.000976,Overall
60,0.9708,0.0292,2.92,0.9689,0.9726,13659,1332,117921,0.001574,Overall
