# Survival probabilities for loans with SBA guarantee ratio ≥ median (0.750)
# Generated: 2025-12-15 21:37:32
# Total observations: 5

time_months,survival_prob,failure_prob,failure_rate_pct,ci_low,ci_high,at_risk,events,censored,hazard_rate,group
12,0.9999,0.0001,0.01,0.9998,0.9999,73431,8,8512,9e-06,High SBA Guarantee
24,0.9977,0.0023,0.23,0.9973,0.998,65053,155,16743,0.000188,High SBA Guarantee
36,0.9903,0.0097,0.97,0.9895,0.9911,44579,552,36820,0.000742,High SBA Guarantee
48,0.9805,0.0195,1.95,0.9792,0.9818,28015,898,53038,0.001029,High SBA Guarantee
60,0.9672,0.0328,3.28,0.9649,0.9693,9844,1123,80828,0.001905,High SBA Guarantee
